Recipe ID,Steps,Generated Steps,Choices,Evaluation
27,"Step 0: Cook pasta in plenty of salted boiling water, according to package instructions, for approx. 10 – 12 min. until al dente. Drain, save some pasta water, and set aside.
Step 1: Peel onion and garlic cloves and chop finely. Dice eggplant into cubes.
Step 2: Heat up some olive oil in a large frying pan and sauté onion and garlic for about 2 – 4 min. until translucent. Add eggplant to pan and fry for approx. 6 – 8 min. until browned on all sides and somewhat soft.
Step 3: Add whole peeled tomatoes and thyme leaves. Boil everything over medium heat for about 5 – 8 min. Season generously with salt and pepper. Toss cooked pasta in the sauce and serve in deep plates with a dollop of ricotta and fresh basil.","Step 0: A person is cooking pasta in a pot on a stove top
Step 1: a person is chopping an onion and an eggplant on a cutting board
Step 2: A person is cooking an eggplant in a frying pan on a stove
Step 3: A person is cooking pasta in a frying pan on a stove","-1
-1
1
0",
28,"Step 0: Bring a pot of water to a boil on the stove top. Add Elbow Macaroni, and cook until al dente, about 8-10 minutes.
Step 1: In a separate pan, over medium heat, melt the Butter. Once melted, pour in Milk and plain All-Purpose Flour. Whisk until flour is completely dissolved. Continue stirring until mixture comes to a boil.
Step 2: Turn heat down to a simmer, stirring constantly, and cook for 2 minutes. Add Cheddar Cheese, and mix until cheese is fully melted.
Step 3: Add drained macaroni, and mix until thoroughly combined.","Step 0: a pot of water is boiling on the stove top with elbow macaroni in it
Step 1: a pan with milk and flour in it on a stove top
Step 2: a pan with cheese and flour in it on a stove top
Step 3: a pan with macaroni and cheese in it on a stove top","-1
0
1
-1",
31,"Step 0: Add rolled oats, coconut milk, almond milk, vanilla extract, ground cinnamon, and ground cardamom to a pot over medium-high heat and bring to a simmer. Reduce heat to medium-low, cover, and let cook for approx. 10 min., or until the oats are soft and almost all liquid is absorbed.
Step 1: In the meantime, toast cashews in a frying pan until fragrant. Remove from heat and set aside.
Step 2: As soon as the porridge is done, remove from heat, add toasted cashews and honey, and stir to combine.
Step 3: Peel and slice mango. Serve warm porridge in bowls and top with sliced mango. Sprinkle with coconut flakes, cocoa nibs, and black sesame seeds. Drizzle with some more honey, if desired, and","Step 0: A pot of oatmeal is being cooked on a stove top with coconut milk, almond milk, vanilla extract, ground cinnamon, and ground cardamom
Step 1: In the meantime, toast cashews in a frying pan until fragrant. Remove from heat and set aside
Step 2: the porridge is being stirred with a spoon and a wooden spoon
Step 3: A bowl of porridge is being topped with sliced mango, coconut flakes, cocoa nibs, and black sesame seeds","-1
-1
0
-1",
32,"Step 0: Add Beef Rump Roast, Pepperoncini Pepper, Dry Italian Salad Dressing Mix, Brown Gravy Mix, and Water to the Instant Pot.
Step 1: Close and lock lid. Cook on Manual High Pressure for 60 minutes, then natural release pressure.
Step 2: Rest for 5 minutes. Shred big chunks of beef to allow juice and peppers to mix in with the meat.
Step 3: Serve alone, with side dishes, on a sandwich or any way you want!","Step 0: a woman is adding beef rump roast, pepperoncini pepper, dry italian salad dressing mix, brown gravy mix, and water to an instant pot
Step 1: the instant pot is being used to cook a beef roast in a pot of water
Step 2: a woman is shredding big chunks of beef to allow juice and peppers to mix in with the meat
Step 3: the woman is serving a bowl of soup on a wooden table","-1
0
0
2",
35,"Step 0: Add Chicken Backbones, Fennel Bulb, Onion, Bay Leaf, Black Peppercorns, Fresh Ginger, Garlic, and Jalapeño Pepper to a stock pot. Cover with Water.
Step 1: Bring to boil. Reduce to a light simmer. Cover. Cook 24-48 hours on lowest setting.
Step 2: Season withSoy Sauce to taste before serving!","Step 0: a stock pot with chicken backbones, fennel bulb, onion, bay leaf, black peppercorns, fresh ginger, garlic, and jalapeño pepper in it
Step 1: a pot of soup is being cooked on a stove top
Step 2: a bowl of soup with a spoon in it","-1
-1
1",
39,"Step 0: Slice off both ends of the oranges. Then, cut off the remaining peel and remaining pith, if necessary. Fillet them over a small bowl by cutting down along the sides of the inner membrane to get segments. Add juice from the segmented oranges to the bowl.
Step 1: Caramelize sugar in a frying pan over medium heat and deglaze with orange segments and juice. Let simmer for approx. 2 min.
Step 2: In a heatproof bowl over a pot of simmering water, melt white chocolate. Add heavy cream to a bowl and whip with a hand mixer with beaters until soft peaks form. In another bowl, mix Greek yogurt with melted white chocolate. Carefully fold the whipped cream into the yogurt- mixture, one half at a time. Transfer to a piping bag and chill for approx. 1 hr.
Step 3: Layer yogurt-white chocolate cream, oranges, and chopped pistachios in serving glasses. Garnish with white chocolate shavings and","Step 0: A woman is slicing off both ends of an orange and then cutting off the remaining peel and remaining pith, if necessary
Step 1: a frying pan with caramelized sugar in it
Step 2: In a heatproof bowl over a pot of simmering water, melt white chocolate. Add heavy cream to a bowl and whip with a hand mixer with beaters until soft peaks form. In another bowl, mix Greek yogurt with melted white chocolate. Carefully fold the whipped cream into th
Step 3: a bowl of yogurt-white chocolate cream, oranges, and chopped pistachios in serving glasses garnished with white chocolate shavings","-1
-1
-1
-1",
41,"Step 0: Measure out semolina and flour onto a clean working surface. Form a hollow in the middle and add eggs. Whisk eggs with a fork and incorporate flour little by little, then knead to combine. If needed, add some water. Knead dough for approx. 10 min., wrap in plastic wrap, and let rest for approx. 30 min.
Step 1: In the meantime, add potatoes to a large pot and cover with water, then season with salt. Cook for approx. 20 min., or until fork-tender. In the meantime, brown butter in a small pot and let cool down. Slice mint into thin ribbons.
Step 2: Drain potatoes, add to a bowl, and mash with a fork. Add grated Parmesan cheese, browned butter, salt, pepper, mint, and stir to combine.
Step 3: Quarter pasta dough and use a pasta machine to roll out the dough. Stamp out discs of dough for the ravioli with a round cookie cutter. Add a spoonful of potato and mint filling to one disc and brush the dough with some water. Place a second disc of dough on top and press around the edges to seal. Repeat the process with remaining dough and filling.
Step 4: Bring a large pot water to a boil, salt well, and cook ravioli for approx. 5 min. In the meantime, melt butter in a large frying pan and add sage leaves and a ladle of cooking water from the ravioli. Add ravioli to the frying pan and toss to coat. Serve ravioli with fresh mint and black pepper.","Step 0: A person is measuring out semolina and flour onto a clean working surface. They are then forming a hollow in the middle and adding eggs to it. They are whisking the eggs with a fork and incorporating flour little by little. If needed, they can add some water to the mixture. Finally, they knead the dough for
Step 1: A person is cooking potatoes in a large pot of water and seasoning them with salt
Step 2: a person is stirring a bowl of mashed potatoes with a fork
Step 3: A person is using a pasta machine to roll out dough for ravioli. They are using a round cookie cutter to stamp out discs of dough for the ravioli and brush them with some water before adding a spoonful of potato and mint filling to one disc and pressing around the edges to seal.
Step 4: A person is cooking ravioli in a large pot of water on a stove top. They are also melting butter in a large frying pan and adding sage leaves and a ladle of cooking water from the ravioli. They then add the ravioli to the frying pan and toss to coat. Finally, they serve the r","-1
-1
1
-1
3",
42,"Step 0: Pre-heat oven to 210°C/410°F. Slice sweet potato approx. 1-in. thick. Peel and cut onion into wedges. Peel and finely dice garlic. Melt coconut oil in a small pot over low heat.
Step 1: Add sliced sweet potato, onion, shredded coconut, melted coconut oil, garlic, sea salt, and pepper to a baking sheet and toss to coat. Bake at 210°C/410°F for approx. 20 min. Then remove from the oven and let cool down a bit.
Step 2: Peel and chop ginger. Transfer sweet potato mixture to a blender. Add ginger, lemon zest, hot vegetable stock, and orange juice. Blend for approx. 40 sec. on high, or until the mixture is smooth. Season with salt and pepper to taste.
Step 3: Add coconut flakes to a pan set over medium heat and toast until they are slightly browned. Transfer soup to serving bowls. Serve with diced mango, toasted coconut flakes, sliced green onion, chopped cilantro, and lime zest on top.
Step 4: This and many more quick recipes can be found in Sebastian Copien´s cookbook “Fit-Mix” (ZS Verlag).","Step 0: A person is cutting a sweet potato into slices on a cutting board
Step 1: A person is using a spatula to add sliced sweet potato, onion, shredded coconut, melted coconut oil, garlic, sea salt, and pepper to a baking sheet and then bake it at 210°C/410°F for about 20 minutes
Step 2: A person is using a blender to make a sweet potato soup
Step 3: A person is adding coconut flakes to a pan set over medium heat and toast until they are slightly browned
Step 4: Yes, this and many more quick recipes can be found in Sebastian Copien's cookbook ""Fit-Mix"" (ZS Verlag).","-1
0
0
1
-1",
43,"Step 0: In a large bowl, mix together flour, water, oil, and salt and knead until a smooth dough forms. Cover with kitchen towel and let rest for approx. 15 min.
Step 1: In a small bowl, season crème fraîche with nutmeg and pepper. Dice bacon and thinly slice onions. Finely chop chives and set aside.
Step 2: Preheat oven to 220°C/425°F. Roll out dough onto a sheet of parchment paper. Transfer to a baking sheet covered with parchment paper. Spread crème fraîche over dough and top with onion rings and diced bacon.
Step 3: Bake at 220°C/425°F for approx. 15 – 20 min. Garnish with chopped chives and season with more pepper to taste.","Step 0: a person is kneading dough in a large bowl with a wooden spoon
Step 1: In a small bowl, season crème fraîche with nutmeg and pepper. Dice bacon and thinly slice onions. Finely chop chives and set aside
Step 2: A person is rolling out dough onto a sheet of parchment paper and then transferring it to a baking sheet covered with parchment paper
Step 3: a person is putting a cake on a baking sheet with parchment paper","-1
-1
0
2",
44,"Step 0: Preheat oven to 180°C/350°F. Add flour, gingerbread spice, cinnamon, salt, and baking powder to a bowl and combine.
Step 1: In another bowl, beat soft butter, cane sugar and egg for approx. 5 min. until smooth. Stir in applesauce.
Step 2: Gradually add the dry ingredients and mix into a smooth dough.
Step 3: Grease loaf pan and line with parchment paper. Transfer dough into loaf pan and bake at 180°C/350°F for approx. 50 - 60 min., or until a toothpick inserted into the center comes out clean.
Step 4: Remove from oven and let cool completely. For the frosting, beat soft butter, confectioner's sugar, cream cheese, and vanilla extract until fluffy.
Step 5: Unmold cake and spread the frosting on top. Dust with cinnamon.","Step 0: a bowl of flour, gingerbread spice, cinnamon, salt, and baking powder is being mixed together
Step 1: a woman is stirring a bowl of applesauce with a spoon
Step 2: the woman is adding dry ingredients to a bowl of applesauce
Step 3: A woman is putting dough into a loaf pan and then baking it at 180°C/350°F for about 50-60 minutes
Step 4: a woman is beating a bowl of frosting with a whisk
Step 5: a woman is spreading frosting on top of a cake with a spatula","-1
-1
1
-1
1
4",
46,"Step 0: Preheat oven to 200°C/400°F and line a baking sheet with parchment paper, if needed. Peel carrots and roughy dice. Add to a large mixing bowl along with garlic, olive oil, and cumin and stir to coat.
Step 1: Add carrot mixture to the prepared baking sheet, transfer to oven, and roast for approx. 20 min. at 200°C/400°F until carrots are tender.
Step 2: Drain chickpeas and reserve the liquid. Transfer carrot mixture, chickpeas, lemon juice, lemon zest, and paprika powder to a food processor and blend until creamy. Add reserved liquid from chickpeas, a little at a time while blending, until smooth and silky in texture. Season with salt and pepper to taste.
Step 3: Transfer hummus to a serving bowl, drizzle with olive oil, and sprinkle with paprika powder and Ras el Hanout to taste. Cut pita bread into triangles and toast. Serve alongside hummus and","Step 0: A person is using a knife to cut up carrots on a baking sheet lined with parchment paper
Step 1: a person is using a spatula to put carrot mixture on a baking sheet
Step 2: A person is using a food processor to blend carrot mixture, chickpeas, lemon juice, lemon zest, and paprika powder
Step 3: A person is pouring hummus into a bowl and sprinkling it with paprika powder and Ras el Hanout to taste","-1
0
1
2",
47,"Step 0: Prepare the Onion, Habanero Pepper, Tomato, Scallion, and Bell Pepper. Normally bell peppers and scallions are not used like this in its original form is very rustic, but using up the stuff you have in the fridge when you cook reduces waste.
Step 1: Heat a pan on medium heat, then empty the contents of the Corned Beef Lunch Meat into it and break it apart. The corned beef itself is very fatty, so basically there’s no real need for oil.
Step 2: Toss everything into the pan with the corned beef and hit it with a dash of Ground Black Pepper and Ketchup. Don’t cover or you’ll risk everything going soggy and into a “mush”. Cook on medium heat while stirring for 5-7 minutes.
Step 3: Serve with sliced cucumber on the side and some rice. This can also be enjoyed on sandwiches, as a topping for crackers, roti, sliced bread.. even stuffed in pitas.","Step 0: A person is chopping up a bell pepper and scallion on a cutting board
Step 1: A pan on the stove with corned beef in it being broken apart with a spoon
Step 2: A pan on the stove with corned beef in it being broken apart with a spoon
Step 3: A bowl of cucumber salad with a spoon in it","-1
-1
1
-1",
50,"Step 0: Combine the Frozen Pineapple, Frozen Strawberries, Pear, Frozen Blueberries, and Water in a blender and blend until smooth.
Step 1: Transfer the slushy fruits to a large punch bowl and add the Sprite just before serving.
Step 2: Your punch is ready to serve! Scoop into glasses.","Step 0: a blender with frozen pineapple, frozen strawberries, pear, frozen blueberries, and water in it
Step 1: a large punch bowl filled with slushy fruits and Sprite
Step 2: a punch bowl filled with slushy fruits and Sprite","-1
-1
1",
51,"Step 0: Heat oil in a pan. Add Chili Powder, Ground Black Pepper, Ground Turmeric, Ground Coriander, Salt, and Curry Leaf. Mix well for 5 minutes over a low flame.
Step 1: Halve the Egg and place them in the masalas. Let it fry for 1 minute.
Step 2: Flip the eggs carefully without damaging the yolk and roast for another minute. Switch off the flame. Yummy egg fry is ready.","Step 0: a pan with chili powder, ground black pepper, ground turmeric, ground coriander, salt, and curry leaf in it
Step 1: halve the egg and place them in the masalas. let it fry for 1 minute
Step 2: a person is flipping eggs in a pan on a stove top","-1
0
1",
54,"Step 0: Pre-heat oven to 220°C/430°F. Cut sweet potatoes into matchsticks and transfer them to a large bowl. Add cornstarch and toss to coat. Spread sweet potato fries over a baking sheet. Add some oil and smoked ground paprika and toss to coat. Bake for approx. 20 min. or until golden-brown and crisp. Remove from oven and season with salt to taste.
Step 1: Finely slice white cabbage and transfer to a bowl. Add cashew cream, white balsamic vinegar, coriander, salt, and pepper, and stir to combine. Let sit until serving to marinate.
Step 2: Add vegan mayonnaise, cinnamon, and chili powder to a small bowl and stir to combine. Refrigerate until serving.
Step 3: Heat remaining oil in a frying pan. Add oyster mushrooms and fry over medium heat for approx. 8 min. Remove from heat and season with salt to taste.
Step 4: Spread some ketchup and vegan spicy cinnamon mayonnaise on each toasted white bread slice. Top half of the slices with lamb’s lettuce, sweet potato fries, white cabbage slaw, fried oyster mushrooms, and some sliced red onion. Place remaining white bread slices on top.
Step 5: This and more delicious recipes can be found in Sebastian Copien´s cookbook “Die vegane Kochschule“ (Christian Verlag).","Step 0: A woman is cutting sweet potatoes into matchsticks and transferring them to a large bowl. She then adds cornstarch and tosses to coat the sweet potato fries before spreading them over a baking sheet and adding some oil and smoked ground paprika to coat them. She then bakes them for
Step 1: A person is pouring white balsamic vinegar into a bowl of white cabbage
Step 2: a person is adding vegan mayonnaise, cinnamon, and chili powder to a small bowl and stirring it until it is combined
Step 3: a person is cooking oyster mushrooms in a frying pan on a stove
Step 4: A person is spreading ketchup and vegan spicy cinnamon mayonnaise on each toasted white bread slice. They top the slices with lamb's lettuce, sweet potato fries, white cabbage slaw, fried oyster mushrooms, and some sliced red onion. They then place the remaining whit
Step 5: In the image, a book titled ""Die vegane Kochschule"" (German for ""The Vegan Cooking School"") is on a wooden table.","-1
-1
-1
-1
-1
-1",
